Date,Description,Amount,Category
2023-06-16,Doctor Visit,174.96,Healthcare
2023-10-24,Amazon,134.69,Shopping
2023-05-18,Target,192.96,Shopping
2023-08-26,Cinema,172.72,Entertainment
2023-04-08,Health Insurance,186.52,Healthcare
2023-08-05,Pharmacy,136.48,Healthcare
2023-02-24,Phone Bill,168.99,Utilities
2023-01-25,Internet Bill,115.99,Utilities
2023-02-10,Health Insurance,113.01,Healthcare
2023-05-31,McDonald's,14.84,Food & Beverage
2023-09-01,Water Bill,41.22,Utilities
2023-01-01,Travel Insurance,167.65,Travel
2023-01-24,Pharmacy,136.22,Healthcare
2023-04-07,Netflix,158.13,Entertainment
2023-09-25,Shell Gas,165.56,Transport
2023-05-12,Shell Gas,137.15,Transport
2023-07-12,Airline Ticket,97.72,Travel
2023-06-19,Health Insurance,114.42,Healthcare
2023-01-28,Amazon,21.92,Shopping
2023-09-01,Doctor Visit,27.09,Healthcare
2023-02-02,Best Buy,183.6,Shopping
2023-03-25,Burger King,156.67,Food & Beverage
2023-03-19,Travel Insurance,115.71,Travel
2023-02-16,Costco,61.49,Shopping
2023-05-08,Lyft,4.07,Transport
2023-06-27,Lyft,174.87,Transport
2023-05-07,Netflix,99.23,Entertainment
2023-03-03,Dunkin' Donuts,56.99,Food & Beverage
2023-01-24,Walmart,101.77,Shopping
2023-05-18,Pizza Hut,24.38,Food & Beverage
2023-01-26,Burger King,138.11,Food & Beverage
2023-08-03,Hotel Booking,90.91,Travel
2023-06-15,Electric Bill,16.13,Utilities
2023-09-07,Shell Gas,16.03,Transport
2023-07-01,Travel Insurance,16.87,Travel
2023-05-23,Theme Park,26.16,Entertainment
2023-07-31,Car Rental,107.75,Travel
2023-07-11,Health Insurance,14.69,Healthcare
2023-02-11,Travel Insurance,52.86,Travel
2023-07-11,Hotel Booking,171.03,Travel
2023-01-29,Uber,119.63,Transport
2023-06-15,Hospital,91.12,Healthcare
2023-01-29,Netflix,75.01,Entertainment
2023-06-30,Pharmacy,104.02,Healthcare
2023-08-15,Electric Bill,112.27,Utilities
2023-04-22,Health Insurance,189.13,Healthcare
2023-08-02,Burger King,120.45,Food & Beverage
2023-09-16,McDonald's,8.66,Food & Beverage
2023-10-03,Health Insurance,23.25,Healthcare
2023-05-07,Exxon,184.42,Transport
2023-02-22,Hotel Booking,24.23,Travel
2023-09-25,Pharmacy,155.68,Healthcare
2023-04-16,Health Insurance,163.49,Healthcare
2023-04-20,Internet Bill,159.28,Utilities
2023-10-18,Electric Bill,179.54,Utilities
2023-07-28,Airline Ticket,56.24,Travel
2023-02-09,Travel Insurance,196.51,Travel
2023-01-23,Shell Gas,183.38,Transport
2023-03-21,Spotify,168.47,Entertainment
2023-05-28,Shell Gas,107.6,Transport
2023-03-19,Starbucks,130.81,Food & Beverage
2023-05-21,Pharmacy,76.12,Healthcare
2023-05-15,Airline Ticket,175.08,Travel
2023-01-11,Car Rental,101.83,Travel
2023-06-18,Spotify,150.77,Entertainment
2023-09-13,Starbucks,84.4,Food & Beverage
2023-07-18,Dunkin' Donuts,175.94,Food & Beverage
2023-08-09,Lyft,104.4,Transport
2023-09-15,Airline Ticket,85.61,Travel
2023-03-07,Dunkin' Donuts,89.27,Food & Beverage
2023-03-05,Phone Bill,170.21,Utilities
2023-07-28,McDonald's,62.98,Food & Beverage
2023-05-13,Costco,97.1,Shopping
2023-08-06,Starbucks,75.96,Food & Beverage
2023-08-07,Phone Bill,188.66,Utilities
2023-03-22,Target,194.37,Shopping
2023-05-15,Hospital,89.21,Healthcare
2023-03-31,Walmart,128.98,Shopping
2023-01-25,Water Bill,24.35,Utilities
2023-02-25,Burger King,114.08,Food & Beverage
2023-06-16,Exxon,38.89,Transport
2023-10-05,Hospital,50.22,Healthcare
2023-04-17,McDonald's,10.4,Food & Beverage
2023-05-09,Health Insurance,164.77,Healthcare
2023-07-25,Car Rental,82.6,Travel
2023-06-01,Hotel Booking,179.87,Travel
2023-02-14,Pharmacy,84.04,Healthcare
2023-10-11,Lyft,172.97,Transport
2023-03-12,Travel Insurance,64.31,Travel
2023-01-30,Costco,177.94,Shopping
2023-01-23,Spotify,40.31,Entertainment
2023-10-10,Internet Bill,119.9,Utilities
2023-08-09,Airline Ticket,39.5,Travel
2023-04-12,Exxon,148.96,Transport
2023-04-14,Uber,33.98,Transport
2023-09-15,Water Bill,199.53,Utilities
2023-01-04,Spotify,46.78,Entertainment
2023-04-24,Theme Park,4.46,Entertainment
2023-06-27,McDonald's,100.54,Food & Beverage
2023-09-20,Hotel Booking,178.01,Travel
2023-07-25,Water Bill,119.3,Utilities
2023-04-10,Airline Ticket,39.58,Travel
2023-05-20,McDonald's,128.39,Food & Beverage
2023-08-15,Doctor Visit,108.27,Healthcare
2023-05-10,Airline Ticket,22.29,Travel
2023-04-09,Car Rental,145.77,Travel
2023-04-13,Pharmacy,196.98,Healthcare
2023-05-07,Pizza Hut,32.63,Food & Beverage
2023-10-28,Phone Bill,196.16,Utilities
2023-02-07,Pizza Hut,109.55,Food & Beverage
2023-02-07,Concert,194.27,Entertainment
2023-02-19,Health Insurance,165.02,Healthcare
2023-05-10,Dunkin' Donuts,18.49,Food & Beverage
2023-09-11,Lyft,34.38,Transport
2023-02-23,Travel Insurance,191.65,Travel
2023-10-02,Spotify,2.09,Entertainment
2023-05-11,Dunkin' Donuts,7.01,Food & Beverage
2023-06-13,Internet Bill,122.96,Utilities
2023-09-06,Best Buy,160.85,Shopping
2023-06-27,Internet Bill,131.8,Utilities
2023-04-28,Travel Insurance,164.79,Travel
2023-02-21,Phone Bill,29.49,Utilities
2023-01-26,Uber,50.65,Transport
2023-03-23,Hospital,63.87,Healthcare
2023-06-27,Walmart,114.16,Shopping
2023-10-09,Exxon,198.42,Transport
2023-09-20,Dunkin' Donuts,138.11,Food & Beverage
2023-04-25,Airline Ticket,42.53,Travel
2023-10-20,Walmart,117.38,Shopping
2023-08-13,Health Insurance,3.26,Healthcare
2023-10-21,Car Rental,9.04,Travel
2023-08-11,Target,151.47,Shopping
2023-05-31,Spotify,77.68,Entertainment
2023-07-05,McDonald's,109.76,Food & Beverage
2023-06-24,Dunkin' Donuts,92.36,Food & Beverage
2023-06-06,Exxon,5.53,Transport
2023-04-07,Hospital,9.89,Healthcare
2023-06-12,Starbucks,43.91,Food & Beverage
2023-06-12,Pharmacy,75.39,Healthcare
2023-01-04,Internet Bill,183.32,Utilities
2023-03-03,Shell Gas,118.37,Transport
2023-09-10,Car Rental,10.8,Travel
2023-05-27,Concert,128.96,Entertainment
2023-05-04,Spotify,142.43,Entertainment
2023-07-03,Water Bill,194.02,Utilities
2023-06-25,Best Buy,67.94,Shopping
2023-01-02,Walmart,177.75,Shopping
2023-06-13,Shell Gas,96.29,Transport
2023-06-27,Travel Insurance,41.37,Travel
2023-02-23,Electric Bill,129.68,Utilities
2023-02-22,Cinema,143.39,Entertainment
2023-05-08,Amazon,5.56,Shopping
2023-05-02,Cinema,97.98,Entertainment
2023-08-12,Exxon,25.73,Transport
2023-08-30,Best Buy,54.29,Shopping
2023-09-19,Pizza Hut,33.51,Food & Beverage
2023-07-22,Best Buy,122.99,Shopping
2023-09-17,Uber,188.57,Transport
2023-07-05,Concert,172.65,Entertainment
2023-04-12,Walmart,177.93,Shopping
2023-05-22,Doctor Visit,96.3,Healthcare
2023-06-04,Hotel Booking,23.79,Travel
2023-04-05,Doctor Visit,50.91,Healthcare
2023-06-07,Doctor Visit,136.86,Healthcare
2023-07-18,Uber,182.03,Transport
2023-10-15,Shell Gas,28.95,Transport
2023-03-18,Lyft,45.57,Transport
2023-03-18,Cinema,126.79,Entertainment
2023-08-06,Theme Park,125.02,Entertainment
2023-02-20,Hospital,161.33,Healthcare
2023-07-22,Target,184.93,Shopping
2023-01-21,Hospital,122.17,Healthcare
2023-05-29,Burger King,103.16,Food & Beverage
2023-05-24,Phone Bill,183.43,Utilities
2023-08-05,Spotify,133.81,Entertainment
2023-05-22,Airline Ticket,135.4,Travel
2023-02-14,Shell Gas,106.62,Transport
2023-02-20,Pharmacy,196.0,Healthcare
2023-07-16,Internet Bill,80.04,Utilities
2023-01-08,Burger King,1.44,Food & Beverage
2023-05-13,Public Transport,53.12,Transport
2023-01-17,Public Transport,188.78,Transport
2023-08-23,Starbucks,141.04,Food & Beverage
2023-07-31,Cinema,65.85,Entertainment
2023-01-07,Travel Insurance,52.52,Travel
2023-09-27,Airline Ticket,68.28,Travel
2023-10-03,Travel Insurance,150.52,Travel
2023-03-06,Netflix,35.53,Entertainment
2023-10-23,Walmart,165.8,Shopping
2023-08-12,Pharmacy,95.92,Healthcare
2023-02-08,Cinema,40.51,Entertainment
2023-03-05,Exxon,159.73,Transport
2023-05-30,Shell Gas,17.69,Transport
2023-05-27,Spotify,152.32,Entertainment
2023-04-09,Walmart,2.33,Shopping
2023-06-26,Travel Insurance,160.3,Travel
2023-05-20,Internet Bill,133.15,Utilities
2023-07-02,Pharmacy,58.09,Healthcare
2023-08-22,Electric Bill,176.18,Utilities
2023-08-05,Hotel Booking,188.98,Travel
2023-09-16,Best Buy,178.66,Shopping
2023-08-23,Hospital,139.63,Healthcare
2023-01-04,Theme Park,53.82,Entertainment
2023-08-22,Costco,62.66,Shopping
2023-09-22,Lyft,176.77,Transport
2023-06-25,Spotify,39.83,Entertainment
2023-08-03,Internet Bill,119.85,Utilities
2023-04-18,McDonald's,58.46,Food & Beverage
2023-03-10,Doctor Visit,48.98,Healthcare
2023-09-12,Starbucks,177.73,Food & Beverage
2023-08-15,Exxon,141.26,Transport
2023-04-05,Uber,19.06,Transport
2023-08-13,Car Rental,57.72,Travel
2023-04-09,Pizza Hut,156.07,Food & Beverage
2023-04-11,Shell Gas,109.07,Transport
2023-10-20,Starbucks,123.75,Food & Beverage
2023-03-05,Travel Insurance,113.97,Travel
2023-03-13,Netflix,38.06,Entertainment
2023-01-14,Airline Ticket,115.59,Travel
2023-03-13,Starbucks,2.2,Food & Beverage
2023-08-14,Hospital,14.35,Healthcare
2023-03-22,Travel Insurance,179.95,Travel
2023-06-20,Burger King,158.46,Food & Beverage
2023-07-22,Spotify,20.91,Entertainment
2023-04-18,Target,164.27,Shopping
2023-03-31,Car Rental,119.96,Travel
2023-09-11,Walmart,92.55,Shopping
2023-08-31,Doctor Visit,136.08,Healthcare
2023-10-12,Theme Park,7.52,Entertainment
2023-06-21,Cinema,179.83,Entertainment
2023-05-14,Best Buy,82.74,Shopping
2023-03-13,Shell Gas,49.8,Transport
2023-01-29,Exxon,157.14,Transport
2023-09-20,Netflix,157.46,Entertainment
2023-09-21,Costco,88.42,Shopping
2023-07-27,Target,5.79,Shopping
2023-07-25,Netflix,58.53,Entertainment
2023-04-19,Target,81.57,Shopping
2023-05-19,Water Bill,69.43,Utilities
2023-03-14,Public Transport,112.54,Transport
2023-05-03,Best Buy,13.77,Shopping
2023-06-11,Lyft,91.82,Transport
2023-10-14,Internet Bill,120.18,Utilities
2023-09-12,Cinema,181.07,Entertainment
2023-07-02,Dunkin' Donuts,165.93,Food & Beverage
2023-02-24,Health Insurance,10.52,Healthcare
2023-01-26,Electric Bill,70.5,Utilities
2023-08-29,Doctor Visit,186.85,Healthcare
2023-10-05,Theme Park,139.8,Entertainment
2023-08-09,Airline Ticket,108.55,Travel
2023-06-04,Doctor Visit,115.26,Healthcare
2023-08-07,Doctor Visit,145.22,Healthcare
2023-09-08,Travel Insurance,83.73,Travel
2023-08-24,McDonald's,90.43,Food & Beverage
2023-01-23,Hotel Booking,12.7,Travel
2023-05-22,Theme Park,69.98,Entertainment
2023-05-11,Cinema,140.45,Entertainment
2023-06-19,Phone Bill,62.39,Utilities
2023-06-30,Concert,175.54,Entertainment
2023-06-02,Theme Park,146.09,Entertainment
2023-10-08,Exxon,199.6,Transport
2023-04-24,Internet Bill,175.86,Utilities
2023-06-22,Travel Insurance,65.45,Travel
2023-05-11,Internet Bill,175.71,Utilities
2023-07-19,Cinema,29.35,Entertainment
2023-06-16,Target,8.54,Shopping
2023-04-18,Pizza Hut,110.15,Food & Beverage
2023-08-02,Airline Ticket,7.0,Travel
2023-05-16,Uber,145.97,Transport
2023-06-10,Public Transport,2.04,Transport
2023-09-06,Phone Bill,109.04,Utilities
2023-03-30,Pharmacy,74.77,Healthcare
2023-06-27,Water Bill,113.53,Utilities
2023-10-27,Airline Ticket,191.53,Travel
2023-08-20,Internet Bill,167.38,Utilities
2023-07-26,Costco,178.08,Shopping
2023-07-05,Dunkin' Donuts,19.49,Food & Beverage
2023-01-31,Public Transport,39.78,Transport
2023-07-29,Airline Ticket,69.67,Travel
2023-10-07,Internet Bill,145.96,Utilities
2023-08-24,Hospital,162.03,Healthcare
2023-03-21,Hospital,30.64,Healthcare
2023-07-03,Lyft,91.54,Transport
2023-09-24,Target,59.33,Shopping
2023-09-13,Internet Bill,57.85,Utilities
2023-04-12,Pizza Hut,118.98,Food & Beverage
2023-04-09,Travel Insurance,21.21,Travel
2023-06-04,Health Insurance,31.24,Healthcare
2023-07-08,Burger King,103.84,Food & Beverage
2023-05-06,Spotify,32.09,Entertainment
2023-01-14,Costco,137.01,Shopping
2023-08-07,Doctor Visit,85.83,Healthcare
2023-02-13,Walmart,91.5,Shopping
2023-08-12,Travel Insurance,150.71,Travel
2023-08-15,Pharmacy,91.29,Healthcare
2023-08-15,Pharmacy,102.89,Healthcare
2023-04-27,Health Insurance,179.95,Healthcare
2023-07-31,Burger King,19.93,Food & Beverage
2023-04-05,Cinema,64.68,Entertainment
2023-04-20,Hotel Booking,128.03,Travel
2023-04-30,Starbucks,34.09,Food & Beverage
2023-08-31,Exxon,7.89,Transport
2023-02-17,Burger King,184.93,Food & Beverage
2023-08-16,Starbucks,23.09,Food & Beverage
2023-06-30,Hotel Booking,181.48,Travel
2023-09-08,McDonald's,13.25,Food & Beverage
2023-01-01,Lyft,145.19,Transport
2023-07-03,Health Insurance,177.31,Healthcare
2023-01-05,Internet Bill,59.34,Utilities
2023-02-18,Theme Park,55.68,Entertainment
2023-09-26,Car Rental,135.28,Travel
2023-07-30,Doctor Visit,79.92,Healthcare
2023-06-01,Concert,65.73,Entertainment
2023-10-17,Pizza Hut,77.56,Food & Beverage
2023-02-11,Electric Bill,29.68,Utilities
2023-08-30,Pharmacy,143.06,Healthcare
2023-09-08,Cinema,116.81,Entertainment
2023-04-12,Walmart,194.52,Shopping
2023-03-08,Spotify,65.62,Entertainment
2023-09-29,Exxon,155.68,Transport
2023-06-15,Shell Gas,21.04,Transport
2023-06-21,Travel Insurance,195.65,Travel
2023-05-27,Public Transport,146.74,Transport
2023-05-02,Uber,157.99,Transport
2023-04-10,Shell Gas,79.79,Transport
2023-04-24,Concert,18.91,Entertainment
2023-03-15,McDonald's,139.36,Food & Beverage
2023-10-12,Internet Bill,30.09,Utilities
2023-03-19,Phone Bill,78.41,Utilities
2023-08-25,Theme Park,70.43,Entertainment
2023-05-27,Electric Bill,84.1,Utilities
2023-01-12,Pizza Hut,111.59,Food & Beverage
2023-01-27,Concert,138.99,Entertainment
2023-07-05,Electric Bill,54.83,Utilities
2023-07-27,McDonald's,133.03,Food & Beverage
2023-09-28,Internet Bill,54.42,Utilities
2023-09-13,Doctor Visit,64.48,Healthcare
2023-06-02,Shell Gas,102.95,Transport
2023-08-28,Water Bill,30.23,Utilities
2023-06-30,Dunkin' Donuts,162.14,Food & Beverage
2023-09-07,Lyft,131.86,Transport
2023-02-28,Amazon,45.64,Shopping
2023-07-14,Pharmacy,153.15,Healthcare
2023-06-17,Exxon,192.19,Transport
2023-10-04,Pizza Hut,7.62,Food & Beverage
2023-02-25,Exxon,117.04,Transport
2023-03-01,Spotify,43.91,Entertainment
2023-02-13,Hospital,82.1,Healthcare
2023-09-23,Target,98.15,Shopping
2023-09-10,Best Buy,24.35,Shopping
2023-04-25,Concert,4.26,Entertainment
2023-07-25,Airline Ticket,149.49,Travel
2023-07-15,Shell Gas,48.03,Transport
2023-02-05,Travel Insurance,89.56,Travel
2023-01-31,Airline Ticket,53.51,Travel
2023-04-09,Pizza Hut,13.28,Food & Beverage
2023-08-03,Public Transport,82.87,Transport
2023-04-13,Cinema,82.6,Entertainment
2023-08-04,Travel Insurance,87.31,Travel
2023-03-09,Water Bill,147.04,Utilities
2023-06-27,Travel Insurance,86.63,Travel
2023-10-27,Starbucks,56.52,Food & Beverage
2023-06-07,Netflix,140.58,Entertainment
2023-07-24,Airline Ticket,58.25,Travel
2023-03-01,Best Buy,100.71,Shopping
2023-09-02,Public Transport,76.29,Transport
2023-02-27,Walmart,193.26,Shopping
2023-01-27,Airline Ticket,19.5,Travel
2023-10-27,Starbucks,130.66,Food & Beverage
2023-05-31,Hospital,41.06,Healthcare
2023-06-09,Electric Bill,9.27,Utilities
2023-02-16,Pizza Hut,181.52,Food & Beverage
2023-03-21,Walmart,120.46,Shopping
2023-05-19,Health Insurance,113.53,Healthcare
2023-09-15,Target,164.06,Shopping
